frame_callsign_id,frame_set,callsign_NP,command_VP
614,frame44,CPA633,use_callsign
615,frame44,PAL498,use_callsign
616,frame44,TGW791,use_callsign
617,frame45,AXM272,use_callsign
618,frame45,EVA707,use_callsign
619,frame45,SIA966,use_callsign
620,frame45,GIA721,use_callsign
621,frame45,JSA450,use_callsign
622,frame45,THA935,use_callsign
623,frame45,ANA979,use_callsign
624,frame45,SIA688,use_callsign
625,frame45,THA845,use_callsign
626,frame45,SIA162,use_callsign
627,frame45,JAL219,use_callsign
628,frame45,MAS547,use_callsign
629,frame45,TGW578,use_callsign
630,frame45,GIA730,use_callsign
631,frame45,CPA633,use_callsign
632,frame45,PAL498,use_callsign
633,frame45,TGW791,use_callsign
634,frame46,AXM272,use_callsign
635,frame46,EVA707,use_callsign
636,frame46,SIA966,use_callsign
637,frame46,GIA721,use_callsign
638,frame46,JSA450,use_callsign
639,frame46,THA935,use_callsign
640,frame46,ANA979,use_callsign
641,frame46,SIA688,use_callsign
642,frame46,THA845,use_callsign
643,frame46,SIA162,use_callsign
644,frame46,JAL219,use_callsign
645,frame46,MAS547,use_callsign
646,frame46,GIA730,use_callsign
647,frame46,TGW578,use_callsign
648,frame46,TGW791,use_callsign
649,frame46,PAL498,use_callsign
650,frame46,CPA633,use_callsign
651,frame47,AXM272,use_callsign
652,frame47,EVA707,use_callsign
653,frame47,SIA966,use_callsign
654,frame47,GIA721,use_callsign
655,frame47,JSA450,use_callsign
656,frame47,THA935,use_callsign
657,frame47,ANA979,use_callsign
658,frame47,SIA688,use_callsign
659,frame47,THA845,use_callsign
660,frame47,SIA162,use_callsign
661,frame47,JAL219,use_callsign
662,frame47,MAS547,use_callsign
663,frame47,GIA730,use_callsign
664,frame47,TGW578,use_callsign
665,frame47,TGW791,use_callsign
666,frame47,PAL498,use_callsign
667,frame47,CPA633,use_callsign
668,frame48,AXM272,use_callsign
669,frame48,EVA707,use_callsign
670,frame48,SIA966,use_callsign
671,frame48,GIA721,use_callsign
672,frame48,JSA450,use_callsign
673,frame48,THA935,use_callsign
674,frame48,ANA979,use_callsign
675,frame48,SIA688,use_callsign
676,frame48,THA845,use_callsign
677,frame48,SIA162,use_callsign
678,frame48,JAL219,use_callsign
679,frame48,MAS547,use_callsign
680,frame48,GIA730,use_callsign
681,frame48,TGW578,use_callsign
682,frame48,TGW791,use_callsign
683,frame48,PAL498,use_callsign
684,frame48,CPA633,use_callsign
685,frame48,THA612,use_callsign
686,frame49,AXM272,use_callsign
687,frame49,EVA707,use_callsign
688,frame49,SIA371,use_callsign
689,frame49,SIA966,use_callsign
690,frame49,GIA721,use_callsign
691,frame49,JSA450,use_callsign
692,frame49,ANA979,use_callsign
693,frame49,THA935,use_callsign
694,frame49,SIA688,use_callsign
695,frame49,THA845,use_callsign
696,frame49,SIA162,use_callsign
697,frame49,JAL219,use_callsign
698,frame49,MAS547,use_callsign
699,frame49,GIA730,use_callsign
700,frame49,TGW791,use_callsign
701,frame49,TGW578,use_callsign
702,frame49,PAL498,use_callsign
703,frame49,CPA633,use_callsign
704,frame49,THA612,use_callsign
705,frame50,AXM272,use_callsign
706,frame50,EVA707,use_callsign
707,frame50,SIA371,use_callsign
708,frame50,SIA966,use_callsign
709,frame50,JSA450,use_callsign
710,frame50,GIA721,use_callsign
711,frame50,ANA979,use_callsign
712,frame50,THA935,use_callsign
713,frame50,SIA688,use_callsign
714,frame50,THA845,use_callsign
715,frame50,SIA162,use_callsign
716,frame50,JAL219,use_callsign
717,frame50,MAS547,use_callsign
718,frame50,GIA730,use_callsign
